Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Number_of_saccades	Average_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Total_amplitude_of_saccades
Recording2	201511120153	Urban1	FinancialSt_H	1	FinancialSt_H	150334	719972	93360	365	256	186	196.96	128.77	5.84	1086.76
Recording2	201511120153	Urban1	Metro_H	1	Metro_H	150384	496148	99398	332	299	206	183.42	134.8	5.22	1074.72
Recording2	201511120153	Urban1	Night_H	1	Night_H	150234	941560	97208	436	223	136	148.57	101.14	3.75	510.14
Recording2	201511120153	Urban1	PedestrianZone_H	1	PedestrianZone_H	150334	261363	115279	379	304	272	196.1	132.68	5.84	1589.45
Recording3	201711061150	Urban0	FinancialSt_L	1	FinancialSt_L	150302	552983	92355	335	276	175	217.87	125.24	4.78	836.9
Recording3	201711061150	Urban0	Metro_L	1	Metro_L	150351	95963	109921	509	216	173	194.45	143.77	4.71	815.46
Recording3	201711061150	Urban0	Night_L	1	Night_L	150251	793141	62472	340	184	117	226.31	114.04	4.85	567.58
Recording3	201711061150	Urban0	PedestrianZone_L	1	PedestrianZone_L	150318	277225	105454	332	318	218	190.93	127.8	4.11	896.78
Recording	201811061170	Urban0	FinancialSt_L	1	FinancialSt_L	150301	176445	126392	385	328	244	190.99	112.52	5.42	1323.33
Recording	201811061170	Urban0	Metro_L	1	Metro_L	150431	610132	133308	544	245	174	168.62	114.04	4.83	839.86
Recording	201811061170	Urban0	Night_L	1	Night_L	150251	818020	131584	533	247	179	186.7	119.16	5.58	999.35
Recording	201811061170	Urban0	PedestrianZone_L	1	PedestrianZone_L	150301	396999	127747	354	361	281	153.26	101.66	4.04	1134.7
Recording4	201711061179	Urban0	FinancialSt_L	1	FinancialSt_L	150318	744562	117470	312	377	295	272.34	250.66	7.23	2134.16
Recording4	201711061179	Urban0	Metro_L	1	Metro_L	150368	512063	115860	353	328	266	209.99	119.33	6.03	1603.71
Recording4	201711061179	Urban0	Night_L	1	Night_L	150267	975726	112829	313	361	306	253.8	164.29	7.11	2174.61
Recording4	201711061179	Urban0	PedestrianZone_L	1	PedestrianZone_L	150392	269612	121618	327	372	317	229.79	235.04	6.46	2046.58
Recording5	201811260127	Urban1	FinancialSt_H	1	FinancialSt_H	150301	553782	107959	374	289	224	195.92	112.29	5.42	1214.07
Recording5	201811260127	Urban1	Metro_H	1	Metro_H	150418	311056	104325	603	173	153	193.45	97.63	4.82	737.57
Recording5	201811260127	Urban1	Night_H	1	Night_H	150268	763509	120319	587	205	168	189.82	104.4	5.41	908.68
Recording5	201811260127	Urban1	PedestrianZone_H	1	PedestrianZone_H	150318	962241	104002	303	343	307	182.54	104.08	5.19	1594.08
Recording6	201911081901	Urban0	FinancialSt_L	1	FinancialSt_L	150284	932868	101861	351	290	273	230.39	107.53	6.9	1884.25
Recording6	201911081901	Urban0	Metro_L	1	Metro_L	150418	181333	116191	393	296	261	198.52	124.05	6.01	1569.18
Recording6	201911081901	Urban0	Night_L	1	Night_L	150267	694162	105215	350	301	238	225.56	109.27	6.76	1609.78
Recording6	201911081901	Urban0	PedestrianZone_L	1	PedestrianZone_L	150318	462197	115729	336	344	308	215.44	125.59	6.54	2015.41
Recording7	202011051015	Urban0	FinancialSt_L	1	FinancialSt_L	150284	222367	109590	317	346	265	183.83	96.37	4.86	1289.19
