Recording	Participant	Timeline	Calibration plane width(mm)	Calibration plane width(px)	Calibration plane height(mm)	Calibration plane height(px)	Point order	Type	X	Y	Calibration accuracy(deg)	Calibration accuracy(mm)	Calibration accuracy(px)	Calibration precision SD(deg)	Calibration precision SD(mm)	Calibration precision SD(px)	Calibration precision RMS(deg)	Calibration precision RMS(mm)	Calibration precision RMS(px)	Validation accuracy(deg)	Validation accuracy(mm)	Validation accuracy(px)	Validation precision SD(deg)	Validation precision SD(mm)	Validation precision SD(px)	Validation precision RMS(deg)	Validation precision RMS(mm)	Validation precision RMS(px)
Recording	201811061170	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.14	1.54	5.61	0.04	0.39	1.41	0.05	0.58	2.09									
Recording	201811061170	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.13	1.47	5.35	0.05	0.52	1.87	0.06	0.61	2.22									
Recording	201811061170	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.06	0.64	2.33	0.07	0.68	2.49	0.08	0.74	2.7									
Recording	201811061170	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.13	1.35	4.91	0.19	2.22	8.07	0.22	2.55	9.28									
Recording	201811061170	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.12	1.35	4.91	0.05	0.62	2.25	0.07	0.83	3.01									
Recording	201811061170	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.39	4.03	14.64	0.06	0.6	2.17	0.06	0.59	2.13
Recording	201811061170	Urban0	528	1920	297	1080	7	Validation	0.7	0.7										0.94	9.58	34.82	0.09	0.89	3.24	0.11	1.07	3.89
Recording	201811061170	Urban0	528	1920	297	1080	8	Validation	0.3	0.3										0.5	5.09	18.51	0.06	0.56	2.04	0.07	0.69	2.5
Recording	201811061170	Urban0	528	1920	297	1080	9	Validation	0.3	0.7										0.99	10	36.35	0.17	1.76	6.39	0.11	1.14	4.13
Recording1	201711061127	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.26	2.87	10.45	0.07	0.78	2.85	0.1	1.12	4.07									
Recording1	201711061127	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.25	2.74	9.95	0.07	0.79	2.86	0.09	1.04	3.77									
Recording1	201711061127	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.06	0.6	2.19	0.12	1.15	4.18	0.13	1.3	4.72									
Recording1	201711061127	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.28	3	10.91	0.1	1.17	4.27	0.12	1.38	5.02									
Recording1	201711061127	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.21	2.31	8.4	0.1	1.14	4.14	0.11	1.24	4.5									
Recording1	201711061127	Urban1	528	1920	297	1080	6	Validation	0.3	0.7										0.45	4.57	16.63	0.15	1.54	5.6	0.18	1.88	6.83
Recording1	201711061127	Urban1	528	1920	297	1080	7	Validation	0.7	0.7										0.72	7.41	26.93	0.13	1.31	4.77	0.15	1.58	5.74
Recording1	201711061127	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.76	7.67	27.89	0.11	1.14	4.14	0.13	1.33	4.85
Recording1	201711061127	Urban1	528	1920	297	1080	9	Validation	0.3	0.3										0.34	3.39	12.32	0.12	1.22	4.44	0.15	1.51	5.49
Recording2	201511120153	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.26	3.1	11.27	0.06	0.73	2.65	0.07	0.86	3.12									
Recording2	201511120153	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.26	3.09	11.23	0.04	0.44	1.62	0.05	0.59	2.15									
Recording2	201511120153	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.16	1.77	6.43	0.05	0.59	2.16	0.06	0.66	2.38									
Recording2	201511120153	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.17	2.1	7.64	0.06	0.74	2.68	0.07	0.89	3.24									
Recording2	201511120153	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.2	2.41	8.77	0.06	0.77	2.79	0.06	0.77	2.81									
Recording2	201511120153	Urban1	528	1920	297	1080	6	Validation	0.7	0.3										0.17	1.93	7.03	0.06	0.69	2.5	0.06	0.66	2.41
Recording2	201511120153	Urban1	528	1920	297	1080	7	Validation	0.3	0.7										0.9	10.5	38.16	0.05	0.63	2.28	0.06	0.75	2.71
Recording2	201511120153	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.78	9.27	33.7	0.06	0.69	2.51	0.07	0.78	2.85
Recording2	201511120153	Urban1	528	1920	297	1080	9	Validation	0.3	0.3										0.38	4.38	15.94	0.06	0.72	2.61	0.06	0.67	2.43
Recording3	201711061150	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.34	3.77	13.71	0.15	1.74	6.33	0.16	1.81	6.59									
