StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1_1	Q1_2	Q1_3	Q1_4	Q1_5	Q1_6	Q1_7
2021-01-11 17:04:49	2021-01-11 17:05:09	IP Address	219.142.99.14	100	19	True	2021-01-11 17:05:09	R_2R9utYa5pxocxlr					39.928802490234375	116.388885498046875	anonymous	ZH-S	完全同意	完全同意	完全同意	完全反对	完全同意	完全同意	中立
2021-01-11 17:20:22	2021-01-11 17:20:46	IP Address	59.64.54.119	100	23	True	2021-01-11 17:20:46	R_2DNbo98G0DRfd07					24.31170654296875	109.3861083984375	anonymous	ZH-S	完全同意	完全同意	完全同意	完全反对	完全同意	完全同意	比较同意
2021-01-11 18:22:56	2021-01-11 18:23:22	IP Address	59.64.54.119	100	26	True	2021-01-11 18:23:22	R_31F7Z8F6gpNZzKw					24.31170654296875	109.3861083984375	anonymous	ZH-S	同意	同意	同意	完全反对	完全同意	同意	中立
2021-01-11 18:44:22	2021-01-11 18:44:48	IP Address	59.64.54.119	100	25	True	2021-01-11 18:44:48	R_shDwiZXpVoX4yzv					24.31170654296875	109.3861083984375	anonymous	ZH-S	比较同意	比较同意	比较同意	反对	同意	比较同意	反对
2021-01-11 19:40:18	2021-01-11 19:40:46	IP Address	59.64.54.119	100	28	True	2021-01-11 19:40:47	R_W7fgnCfcw23yuWd					24.31170654296875	109.3861083984375	anonymous	ZH-S	比较同意	比较同意	中立	中立	比较反对	比较同意	反对
2021-01-11 19:55:28	2021-01-11 19:55:56	IP Address	59.64.54.119	100	28	True	2021-01-11 19:55:56	R_2uZDJ5Aj9dav3X4					24.31170654296875	109.3861083984375	anonymous	ZH-S	比较反对	中立	比较反对	比较同意	反对	中立	完全反对
2021-01-11 20:37:01	2021-01-11 20:37:38	IP Address	59.64.54.119	100	36	True	2021-01-11 20:37:38	R_1ClL0PUhfCGCNGG					24.31170654296875	109.3861083984375	anonymous	ZH-S	同意	同意	完全同意	反对	同意	同意	同意
2021-01-11 20:53:36	2021-01-11 20:54:05	IP Address	59.64.54.119	100	29	True	2021-01-11 20:54:06	R_SAZeQp0N4JQtLqN					24.31170654296875	109.3861083984375	anonymous	ZH-S	同意	同意	完全同意	完全反对	完全同意	完全同意	同意
2021-01-11 23:13:41	2021-01-11 23:14:05	IP Address	59.64.54.119	100	24	True	2021-01-11 23:14:06	R_3EQmTlwLrY332YK					24.31170654296875	109.3861083984375	anonymous	ZH-S	比较同意	比较同意	中立	比较反对	比较同意	中立	反对
2021-01-11 23:28:37	2021-01-11 23:28:54	IP Address	59.64.54.119	100	17	True	2021-01-11 23:28:54	R_veS7VfIjdJhK8HD					24.31170654296875	109.3861083984375	anonymous	ZH-S	中立	中立	比较反对	比较同意	比较同意	中立	反对
2021-01-11 23:36:43	2021-01-11 23:37:10	IP Address	59.64.54.119	100	26	True	2021-01-11 23:37:10	R_10T5F6kjeyWPpku					24.31170654296875	109.3861083984375	anonymous	ZH-S	比较同意	比较同意	同意	比较反对	同意	比较同意	比较反对
