StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1_1	Q1_2	Q1_3	Q1_4	Q1_5	Q1_6	Q1_7	Q1_8	Q1_9	Q1_10	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q4_7	Q4_8	Q4_9	Q4_10	Q4_11	Q4_12	Q4_13	Q4_14	Q4_15	Q4_16	Q4_17	Q4_18	Q4_19	Q4_20	Q4_21	Q4_22	Q4_23	Q4_24	Q4_25	Q4_26	Q4_27	Q4_28	Q4_29	Q4_30	Q4_31	Q4_32	Q4_33	Q4_34	Q4_35	Q4_36	Q4_37	Q4_38	Q4_39	Q4_40	Q4_41	Q4_42	Q2
2021-01-11 17:21:28	2021-01-11 17:26:40	IP Address	61.148.244.247	100	312	True	2021-01-11 17:26:40	R_2pKmltWemYs583b					39.928802490234375	116.388885498046875	qr	ZH-S	完全同意	比较同意	完全同意	完全同意	完全同意	完全不同意	中立	比较同意	完全不同意	比较反对	反对	反对	非常反对	反对	非常反对	非常反对	非常反对	非常反对	非常反对	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	有点同意	同意	同意	有点同意	非常反对	非常反对	非常同意	反对	非常同意	非常同意	非常同意	非常同意	同意	同意	非常同意	非常同意	非常同意	同意	同意	同意	同意	非常同意	反对	有点同意	非常同意	反对	有点同意	201511120153
2021-01-11 18:45:18	2021-01-11 18:53:27	IP Address	117.136.38.81	100	489	True	2021-01-11 18:53:28	R_1ooiD6hKgPsu8np					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较同意	比较同意	完全同意	完全同意	比较同意	比较反对	比较反对	中立	有点同意	有点同意	反对	有点反对	有点同意	有点同意	有点反对	有点同意	反对	同意	同意	同意	有点同意	有点同意	同意	同意	同意	有点同意	有点同意	反对	非常反对	同意	反对	同意	同意	同意	有点同意	有点同意	有点反对	反对	有点同意	有点同意	有点反对	有点同意	有点同意	有点反对	有点反对	有点反对	有点同意	同意	反对	有点同意	201711061150
2021-01-11 19:56:33	2021-01-11 20:04:38	IP Address	61.148.244.189	100	484	True	2021-01-11 20:04:38	R_9u8loNYO6MffB3H					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较同意	比较同意	完全同意	比较同意	比较反对	比较反对	完全不同意	比较反对	同意	有点同意	有点同意	反对	有点反对	有点同意	有点同意	同意	同意	同意	有点同意	有点同意	有点反对	非常反对	反对	有点反对	有点同意	有点同意	同意	同意	有点同意	有点同意	有点同意	同意	有点同意	有点同意	同意	有点同意	反对	有点反对	有点同意	同意	有点同意	同意	同意	有点同意	有点同意	有点反对	反对	非常同意	反对	有点同意	201811061170
2021-01-11 20:54:47	2021-01-11 21:00:24	IP Address	219.142.99.24	100	337	True	2021-01-11 21:00:25	R_1DNKXS6Kj856hH0					39.928802490234375	116.388885498046875	qr	ZH-S	比较反对	中立	完全不同意	中立	中立	中立	完全同意	比较反对	中立	完全同意	非常反对	非常反对	反对	有点反对	非常反对	非常反对	非常反对	反对	有点同意	同意	有点同意	有点同意	同意	同意	非常同意	同意	非常同意	非常同意	非常同意	反对	有点反对	非常同意	反对	同意	非常同意	非常同意	非常同意	非常同意	非常同意	同意	有点同意	非常同意	同意	非常反对	反对	非常同意	同意	有点同意	有点同意	非常同意	反对	有点同意	201711061179
2021-01-11 23:30:18	2021-01-11 23:33:09	IP Address	223.104.38.211	100	170	True	2021-01-11 23:33:09	R_3nTAmF1pMv81E6f					39.928802490234375	116.388885498046875	qr	ZH-S	中立	比较同意	中立	比较同意	比较同意	中立	比较同意	比较反对	比较反对	中立	有点反对	反对	有点同意	有点反对	有点反对	有点反对	有点同意	有点反对	有点反对	有点同意	有点反对	有点反对	有点反对	有点同意	有点反对	有点同意	有点同意	有点同意	有点同意	有点反对	有点反对	有点同意	有点反对	有点同意	有点同意	有点同意	有点同意	有点同意	有点反对	有点反对	有点同意	有点同意	有点同意	有点反对	有点反对	有点反对	有点反对	有点同意	有点同意	有点同意	反对	有点同意	201811260127
2021-01-11 23:55:35	2021-01-12 00:10:04	IP Address	223.104.38.29	100	869	True	2021-01-12 00:10:05	R_2xzV4eiua66jrjF					39.928802490234375	116.388885498046875	qr	ZH-S	中立	比较同意	比较反对	比较同意	比较同意	比较同意	中立	中立	比较反对	中立	反对	反对	有点反对	有点同意	有点同意	有点同意	反对	反对	反对	有点同意	同意	有点反对	有点同意	有点同意	有点同意	有点同意	同意	同意	同意	有点同意	反对	同意	有点反对	有点同意	有点反对	反对	有点同意	有点同意	有点同意	有点同意	同意	同意	有点反对	有点同意	有点同意	反对	反对	反对	反对	同意	反对	有点同意	201911081901
2021-01-12 00:26:07	2021-01-12 00:33:06	IP Address	210.31.76.108	100	418	True	2021-01-12 00:33:06	R_2D6PVliCd5RvfLx					34.7725067138671875	113.726593017578125	qr	ZH-S	中立	比较同意	比较同意	比较同意	比较同意	比较同意	比较同意	比较反对	比较反对	比较反对	有点同意	有点反对	有点同意	反对	同意	同意	同意	有点同意	反对	同意	同意	同意	同意	同意	同意	同意	同意	同意	有点同意	反对	反对	同意	有点反对	有点同意	有点同意	同意	同意	有点反对	有点反对	有点反对	同意	有点同意	反对	同意	同意	反对	反对	有点反对	有点反对	有点反对	反对	有点同意	202011051015
2021-01-12 00:47:00	2021-01-12 00:50:50	IP Address	106.121.187.127	100	229	True	2021-01-12 00:50:50	R_DCQtA0FOQZqjdwl					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	完全同意	比较同意	完全同意	比较同意	中立	中立	中立	中立	同意	有点同意	有点反对	有点反对	同意	有点同意	非常同意	有点同意	反对	非常同意	有点反对	有点反对	非常同意	非常同意	同意	非常同意	同意	同意	非常同意	有点反对	反对	同意	反对	有点同意	有点同意	同意	有点同意	有点同意	有点同意	同意	有点同意	有点同意	反对	非常同意	同意	非常反对	反对	非常同意	非常同意	同意	反对	有点同意	202011180030
2021-01-12 01:29:49	2021-01-12 01:36:39	IP Address	210.31.76.255	100	409	True	2021-01-12 01:36:39	R_2bOPcX10UR4zP8J					39.4810943603515625	115.963287353515625	qr	ZH-S	中立	比较反对	比较同意	完全同意	比较同意	比较同意	中立	比较同意	中立	中立	有点反对	有点反对	有点反对	同意	有点同意	有点反对	有点反对	有点反对	反对	有点同意	有点同意	非常同意	有点同意	有点反对	有点同意	同意	有点反对	同意	同意	有点反对	有点同意	同意	有点反对	同意	有点反对	有点反对	同意	有点同意	有点同意	有点同意	同意	有点反对	有点反对	有点同意	有点同意	有点反对	反对	有点同意	有点同意	同意	反对	有点同意	202021150005
2021-01-12 02:51:56	2021-01-12 02:58:48	IP Address	124.64.16.85	100	411	True	2021-01-12 02:58:48	R_3oOaUwawqyyx7l4					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	完全同意	比较同意	中立	完全同意	比较同意	完全同意	比较反对	比较反对	完全同意	反对	反对	非常反对	有点同意	反对	有点反对	反对	反对	反对	同意	同意	同意	有点同意	有点同意	同意	同意	非常同意	同意	同意	反对	有点反对	非常同意	反对	同意	有点同意	同意	非常同意	同意	有点同意	有点同意	非常同意	非常同意	有点反对	有点反对	有点同意	有点同意	有点同意	有点同意	有点同意	非常同意	反对	有点同意	202011061080
2021-01-12 03:15:42	2021-01-12 03:22:16	IP Address	106.121.183.255	100	393	True	2021-01-12 03:22:16	R_9mG4ab4wZDAiBs5					39.928802490234375	116.388885498046875	qr	ZH-S	比较同意	比较同意	比较同意	中立	比较同意	中立	比较同意	比较反对	中立	中立	反对	反对	反对	非常同意	有点同意	反对	有点反对	有点反对	有点反对	有点同意	非常同意	同意	同意	有点同意	同意	同意	非常同意	有点同意	同意	有点反对	反对	同意	反对	有点同意	有点反对	有点同意	同意	同意	有点同意	同意	有点同意	同意	反对	有点反对	有点同意	有点反对	有点反对	同意	有点同意	同意	反对	有点同意	201711150917
