StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q21_1	Q21_2	Q21_3	Q21_4	Q21_5	Q21_6	Q21_7	Q21_8	Q21_9	Q21_10	Q21_11	Q21_12	Q21_13	Q21_14	Q21_15	Q21_16	Q21_17	Q21_18	Q21_19	Q21_20	Q22
2021/1/11 6:04	2021/1/11 6:08	IP Address	219.142.99.14	100	204	TRUE	2021/1/11 6:08	R_3CIxQMOUUPoLsmO					39.92880249	116.3888855	anonymous	ZH-S	反对	中立	完全反对	比较同意	完全同意	完全反对	完全反对	比较反对	比较同意	完全反对	同意	比较同意	比较同意	反对	比较反对	反对	同意	反对	比较反对	同意	有点满意
2021/1/11 6:10	2021/1/11 6:13	IP Address	59.64.54.119	100	179	TRUE	2021/1/11 6:13	R_28Hynhmn84ju2sP					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较同意	比较同意	比较同意	同意	中立	比较反对	中立	同意	比较反对	比较同意	中立	比较同意	反对	比较同意	比较反对	比较反对	比较同意	比较同意	同意	有点满意
2021/1/11 6:16	2021/1/11 6:19	IP Address	219.142.99.14	100	197	TRUE	2021/1/11 6:19	R_2PdjDql6TcasCqd					39.92880249	116.3888855	anonymous	ZH-S	比较同意	比较同意	比较同意	比较同意	同意	反对	比较反对	反对	反对	完全反对	同意	比较同意	完全反对	比较反对	同意	完全反对	比较同意	比较同意	比较同意	同意	有点满意
2021/1/11 6:22	2021/1/11 6:24	IP Address	59.64.54.119	100	102	TRUE	2021/1/11 6:24	R_3HvLKnLcEZZQbje					24.31170654	109.3861084	anonymous	ZH-S	比较同意	比较反对	同意	比较同意	比较反对	同意	同意	完全同意	完全同意	同意	完全同意	比较反对	完全同意	比较同意	同意	反对	反对	完全反对	比较反对	同意	一般满意
2021/1/11 7:49	2021/1/11 7:52	IP Address	59.64.54.119	100	132	TRUE	2021/1/11 7:52	R_111LBrxv36V9jQI					24.31170654	109.3861084	anonymous	ZH-S	比较同意	比较反对	中立	中立	同意	同意	同意	完全同意	完全同意	比较同意	比较同意	反对	反对	完全反对	比较反对	中立	比较同意	中立	比较同意	同意	一般满意
2021/1/11 7:54	2021/1/11 7:58	IP Address	59.64.54.119	100	218	TRUE	2021/1/11 7:58	R_3lGLWj0epUDuWY3					24.31170654	109.3861084	anonymous	ZH-S	比较同意	中立	中立	比较同意	反对	比较同意	比较同意	同意	同意	比较同意	完全同意	同意	完全同意	比较同意	比较反对	反对	比较反对	比较反对	比较反对	同意	有点不满意
2021/1/11 8:00	2021/1/11 8:02	IP Address	219.142.99.14	100	103	TRUE	2021/1/11 8:02	R_2yqKNTgcWmsAQ4A					39.92880249	116.3888855	anonymous	ZH-S	比较同意	比较反对	比较同意	比较同意	同意	比较反对	比较反对	中立	同意	比较同意	比较反对	完全反对	完全反对	反对	反对	比较反对	比较同意	比较反对	中立	同意	有点满意
2021/1/11 8:05	2021/1/11 8:07	IP Address	59.64.54.119	100	107	TRUE	2021/1/11 8:07	R_daKdGoM0KSdDmbn					24.31170654	109.3861084	anonymous	ZH-S	比较同意	比较反对	反对	反对	完全同意	比较反对	比较反对	反对	同意	比较反对	同意	完全反对	比较反对	反对	同意	反对	比较反对	中立	比较反对	同意	中立
2021/1/11 17:07	2021/1/11 17:09	IP Address	59.64.54.119	100	81	TRUE	2021/1/11 17:09	R_9zzrLSx46fsfmKd					24.31170654	109.3861084	anonymous	ZH-S	同意	完全同意	同意	完全同意	完全同意	比较同意	同意	中立	比较同意	比较同意	完全同意	中立	完全同意	同意	比较同意	中立	同意	比较同意	同意	同意	一般满意
2021/1/11 17:11	2021/1/11 17:13	IP Address	59.64.54.119	100	70	TRUE	2021/1/11 17:13	R_1QZ5CDD0lZKwriF					24.31170654	109.3861084	anonymous	ZH-S	比较反对	完全反对	反对	反对	完全反对	同意	反对	完全反对	比较同意	完全反对	完全同意	同意	完全反对	完全同意	反对	反对	完全反对	完全反对	完全反对	同意	一般不满意
2021/1/11 17:15	2021/1/11 17:16	IP Address	219.142.99.14	100	67	TRUE	2021/1/11 17:16	R_3HMz16jCqTXObmN					39.92880249	116.3888855	anonymous	ZH-S	同意	比较反对	同意	同意	完全同意	完全同意	同意	比较同意	完全同意	完全同意	比较反对	完全反对	完全反对	完全反对	同意	比较反对	同意	同意	同意	同意	一般满意
2021/1/11 17:19	2021/1/11 17:20	IP Address	59.64.54.119	100	57	TRUE	2021/1/11 17:20	R_1lzty8E7fPqr51V					24.31170654	109.3861084	anonymous	ZH-S	完全同意	同意	完全同意	比较同意	同意	完全同意	完全同意	同意	同意	完全同意	完全反对	完全反对	同意	完全反对	同意	比较同意	同意	完全同意	比较同意	同意	极为满意
2021/1/11 18:26	2021/1/11 18:28	IP Address	59.64.54.119	100	121	TRUE	2021/1/11 18:28	R_3qwyw5Xpo7gJTMR					24.31170654	109.3861084	anonymous	ZH-S	比较同意	同意	同意	同意	完全同意	比较同意	比较同意	比较同意	比较同意	比较同意	比较同意	反对	同意	比较反对	比较反对	比较反对	比较同意	中立	比较同意	同意	有点满意
2021/1/11 18:30	2021/1/11 18:32	IP Address	59.64.54.119	100	86	TRUE	2021/1/11 18:32	R_3324BMTqgsCqEUZ					24.31170654	109.3861084	anonymous	ZH-S	反对	反对	反对	反对	反对	反对	反对	反对	反对	比较反对	反对	比较同意	比较反对	反对	反对	反对	反对	反对	反对	同意	一般不满意
2021/1/11 18:34	2021/1/11 18:36	IP Address	59.64.54.119	100	93	TRUE	2021/1/11 18:36	R_2bJ2c1UmVGw046P					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较同意	比较同意	中立	比较同意	比较反对	中立	比较反对	比较反对	反对	中立	比较同意	比较反对	比较反对	反对	反对	比较反对	反对	比较反对	同意	有点不满意
2021/1/11 18:42	2021/1/11 18:44	IP Address	59.64.54.119	100	69	TRUE	2021/1/11 18:44	R_2QGIu8oy1SIZjvt					24.31170654	109.3861084	anonymous	ZH-S	反对	中立	反对	反对	比较反对	反对	反对	反对	反对	反对	比较反对	比较同意	比较反对	中立	反对	反对	反对	反对	反对	同意	一般不满意
2021/1/11 19:43	2021/1/11 19:44	IP Address	59.64.54.119	100	66	TRUE	2021/1/11 19:44	R_22EcSgvJQL18r9F					24.31170654	109.3861084	anonymous	ZH-S	完全反对	反对	反对	完全反对	完全反对	比较反对	比较反对	中立	比较同意	比较同意	反对	比较同意	反对	完全反对	反对	完全反对	完全反对	中立	反对	同意	有点满意
2021/1/11 19:47	2021/1/11 19:48	IP Address	59.64.54.119	100	59	TRUE	2021/1/11 19:48	R_2uqBS9pAr0smiyN					24.31170654	109.3861084	anonymous	ZH-S	同意	同意	同意	同意	同意	同意	同意	比较同意	同意	完全同意	同意	比较反对	同意	比较同意	同意	反对	比较反对	中立	比较同意	同意	一般满意
2021/1/11 19:50	2021/1/11 19:51	IP Address	59.64.54.119	100	54	TRUE	2021/1/11 19:51	R_1OHbJHykB6IO50s					24.31170654	109.3861084	anonymous	ZH-S	中立	比较反对	反对	完全反对	比较反对	反对	反对	中立	中立	中立	反对	同意	反对	同意	比较反对	中立	比较反对	比较反对	比较反对	同意	中立
2021/1/11 19:54	2021/1/11 19:55	IP Address	59.64.54.119	100	57	TRUE	2021/1/11 19:55	R_3foTxufhI8dOXWN					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较反对	比较反对	反对	完全反对	反对	反对	比较反对	比较反对	中立	比较同意	比较同意	同意	比较同意	中立	反对	反对	比较反对	中立	同意	有点满意
2021/1/11 20:40	2021/1/11 20:42	IP Address	59.64.54.119	100	88	TRUE	2021/1/11 20:42	R_1flR6UAjl0gP2xu					24.31170654	109.3861084	anonymous	ZH-S	中立	比较同意	同意	比较同意	完全同意	完全同意	同意	同意	完全同意	完全同意	反对	反对	同意	反对	同意	比较同意	比较同意	同意	中立	同意	一般满意
2021/1/11 20:44	2021/1/11 20:46	IP Address	59.64.54.119	100	78	TRUE	2021/1/11 20:46	R_5zNFgiXTEcr9s6B					24.31170654	109.3861084	anonymous	ZH-S	完全反对	完全反对	反对	完全反对	比较反对	比较反对	反对	中立	比较同意	比较反对	反对	中立	完全反对	完全反对	中立	反对	反对	反对	反对	同意	一般不满意
2021/1/11 20:48	2021/1/11 20:49	IP Address	59.64.54.119	100	76	TRUE	2021/1/11 20:49	R_YPMSU7yYbuURwxr					24.31170654	109.3861084	anonymous	ZH-S	比较反对	反对	比较反对	反对	比较反对	比较同意	比较同意	中立	中立	中立	比较反对	中立	中立	完全反对	比较反对	反对	反对	中立	比较反对	同意	中立
2021/1/11 20:52	2021/1/11 20:53	IP Address	59.64.54.119	100	56	TRUE	2021/1/11 20:53	R_1PcSe8gYsMHflQ7					24.31170654	109.3861084	anonymous	ZH-S	同意	完全同意	完全同意	同意	完全同意	同意	中立	完全同意	比较反对	同意	比较反对	反对	反对	完全反对	中立	同意	完全同意	比较同意	同意	同意	极为满意
2021/1/11 23:20	2021/1/11 23:21	IP Address	59.64.54.119	100	56	TRUE	2021/1/11 23:21	R_O8BB1t7ewhU55Sh					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较反对	比较反对	中立	比较反对	中立	中立	比较同意	比较同意	中立	比较反对	比较反对	比较同意	中立	中立	比较反对	比较反对	比较反对	比较反对	同意	中立
2021/1/11 23:24	2021/1/11 23:25	IP Address	59.64.54.119	100	45	TRUE	2021/1/11 23:25	R_2uTXciaF49N9y7j					24.31170654	109.3861084	anonymous	ZH-S	比较反对	比较反对	中立	比较反对	中立	比较反对	中立	比较反对	中立	中立	中立	比较反对	比较同意	比较同意	比较反对	比较反对	比较反对	比较同意	比较反对	同意	中立
2021/1/11 23:27	2021/1/11 23:28	IP Address	59.64.54.119	100	44	TRUE	2021/1/11 23:28	R_2w0RGgUWYg0PoqU					24.31170654	109.3861084	anonymous	ZH-S	比较同意	比较同意	比较同意	比较同意	中立	比较同意	比较同意	中立	比较同意	比较同意	中立	中立	比较同意	中立	比较反对	比较反对	比较反对	比较同意	中立	同意	有点满意
