RecordedDate,Escape1,Escape2,Escape3,Escape4,Escape5,Fascination1,Fascination2,Fascination3,Fascination4,Fascination5,Coherence1,Coherence2,Coherence3,Coherence4,Compatibility1,Compatibility2,Compatibility3,Compatibility4,Compatibility5,check,Satisfaction
2021-01-12T08:09:00Z,6,7,6,7,7,5,6,4,5,5,7,4,7,6,5,4,6,5,6,6,6
2021-01-12T08:13:00Z,3,1,2,2,1,6,2,1,5,1,7,6,1,7,2,2,1,1,1,6,2
2021-01-12T08:16:00Z,6,3,6,6,7,7,6,5,7,7,3,1,1,1,6,3,6,6,6,6,6
2021-01-12T08:20:00Z,7,6,7,5,6,7,7,6,6,7,1,1,6,1,6,5,6,7,5,6,7
2021-01-12T09:28:00Z,5,6,6,6,7,5,5,5,5,5,5,2,6,3,3,3,5,4,5,6,5
2021-01-12T09:32:00Z,2,2,2,2,2,2,2,2,2,3,2,5,3,2,2,2,2,2,2,6,2
2021-01-12T09:36:00Z,3,5,5,4,5,3,4,3,3,2,4,5,3,3,2,2,3,2,3,6,3
2021-01-12T09:44:00Z,2,4,2,2,3,2,2,2,2,2,3,5,3,4,2,2,2,2,2,6,2
2021-01-12T10:44:00Z,1,2,2,1,1,3,3,4,5,5,2,5,2,1,2,1,1,4,2,6,5
2021-01-12T10:48:00Z,6,6,6,6,6,6,6,5,6,7,6,3,6,5,6,2,3,4,5,6,6
2021-01-12T10:51:00Z,4,3,2,1,3,2,2,4,4,4,2,6,2,6,3,4,3,3,3,6,4
2021-01-12T10:55:00Z,3,3,3,2,1,2,2,3,3,4,5,5,6,5,4,2,2,3,4,6,5
2021-01-12T11:42:00Z,4,5,6,5,7,7,6,6,7,7,2,2,6,2,6,5,5,6,4,6,6
2021-01-12T11:46:00Z,1,1,2,1,3,3,2,4,5,3,2,4,1,1,4,2,2,2,2,6,2
2021-01-12T11:49:00Z,3,2,3,2,3,5,5,4,4,4,3,4,4,1,3,2,2,4,3,6,4
2021-01-12T11:53:00Z,6,7,7,6,7,6,4,7,3,6,3,2,2,1,4,6,7,5,6,6,7
2021-01-12T14:18:00Z,,,,,,,,,,,,,,,,,,,,,
2021-01-12T14:21:00Z,3,3,3,4,3,4,4,5,5,4,3,3,5,4,4,3,3,3,3,6,4
2021-01-12T14:25:00Z,3,3,4,3,4,3,4,3,4,4,4,3,5,5,3,3,3,5,3,6,4
2021-01-12T14:28:00Z,5,5,5,5,4,5,5,4,5,5,4,4,5,4,3,3,3,5,4,6,5
2021-01-12T14:42:00Z,4,4,4,4,4,1,3,2,2,1,5,2,5,5,4,2,2,3,2,4,3
2021-01-12T14:46:00Z,5,3,5,5,5,5,5,6,5,6,4,3,6,4,4,2,4,3,5,6,5
2021-01-12T14:50:00Z,3,4,3,4,4,2,1,2,3,2,4,2,4,4,2,2,1,3,2,6,3
2021-01-12T14:54:00Z,2,2,3,2,3,4,4,5,5,5,4,5,4,3,4,1,1,2,2,6,4
2021-01-12T15:11:00Z,3,5,5,5,5,3,4,5,6,4,2,4,3,3,3,3,3,3,2,6,5
2021-01-12T15:16:00Z,3,5,5,6,5,5,5,5,6,6,5,6,6,3,6,3,3,3,4,6,6
2021-01-12T15:20:00Z,2,2,3,2,3,5,3,3,3,3,3,3,2,2,2,3,3,4,3,6,4
2021-01-12T15:25:00Z,5,5,5,6,6,5,3,3,3,5,2,3,2,2,5,3,3,4,5,6,6
2021-01-12T15:35:00Z,1,2,4,4,2,3,2,4,3,3,5,4,5,6,2,1,1,2,2,6,4
2021-01-12T15:39:00Z,1,1,1,1,1,1,1,1,1,1,7,5,7,7,1,1,1,1,1,6,1
2021-01-12T15:42:00Z,3,4,5,3,3,2,2,2,4,3,4,4,4,4,2,1,2,3,3,6,4
2021-01-12T15:46:00Z,6,5,5,5,6,6,5,4,4,6,5,3,5,4,5,3,2,3,5,6,5
2021-01-12T16:18:00Z,5,5,4,5,5,4,4,4,4,4,5,3,5,4,4,3,5,4,5,6,5
2021-01-12T16:21:00Z,2,2,2,3,3,2,2,2,3,1,3,4,2,3,3,1,2,3,2,6,4
2021-01-12T16:25:00Z,1,2,2,3,2,2,2,2,3,3,3,4,4,5,2,2,3,3,2,6,3
2021-01-12T16:28:00Z,4,4,4,4,4,4,3,3,3,4,4,5,4,4,3,3,3,4,3,6,4
2021-01-12T17:38:00Z,4,3,3,2,5,3,6,4,4,3,2,6,6,3,2,4,4,3,4,6,3
2021-01-12T17:42:00Z,1,2,2,2,2,2,3,3,2,4,4,5,7,7,1,2,2,2,1,6,2
2021-01-12T17:46:00Z,1,2,2,1,2,4,2,1,3,5,7,7,7,7,2,1,1,4,4,6,2
2021-01-12T17:49:00Z,6,6,7,6,6,6,7,7,7,7,2,4,2,1,4,4,5,6,7,6,6
2021-01-12T18:02:00Z,5,6,5,6,6,5,6,6,6,5,4,2,5,3,5,4,3,6,6,6,6
2021-01-12T18:06:00Z,3,2,3,3,3,3,3,5,5,3,2,4,2,3,5,2,2,5,4,6,4
2021-01-12T18:10:00Z,3,3,3,3,2,2,2,3,5,3,4,5,4,4,2,2,3,2,2,6,3
2021-01-12T18:14:00Z,1,1,2,1,1,1,1,1,1,1,4,4,2,6,1,1,2,1,1,6,2
2021-01-12T18:28:00Z,4,6,4,5,5,5,5,4,5,5,4,3,5,2,2,3,3,5,3,6,5
2021-01-12T18:32:00Z,3,3,3,2,2,3,3,2,2,2,3,5,4,2,3,3,2,3,2,6,3
2021-01-12T18:35:00Z,6,7,6,6,7,7,7,7,7,7,5,2,2,1,6,7,6,6,7,6,6
2021-01-12T18:38:00Z,5,5,5,5,4,5,3,3,6,3,5,2,5,6,4,5,5,5,4,6,4
2021-01-12T19:08:00Z,5,6,6,5,6,5,4,5,5,6,3,3,3,3,3,2,4,4,6,6,5
2021-01-12T19:12:00Z,4,3,4,2,4,4,3,3,4,3,5,5,3,6,4,2,3,3,4,6,3
2021-01-12T19:15:00Z,7,7,7,7,7,7,7,7,7,6,4,3,2,3,6,3,4,4,7,6,7
2021-01-12T19:19:00Z,4,5,4,5,4,4,3,3,3,4,6,3,4,4,4,3,2,4,5,6,4
2021-01-12T19:40:00Z,4,6,5,4,6,5,6,6,7,6,5,4,6,5,5,3,4,3,4,6,6
2021-01-12T19:44:00Z,4,4,4,3,4,4,2,3,4,3,4,6,5,7,3,3,5,3,3,6,3
2021-01-12T19:47:00Z,4,3,4,4,4,5,2,3,3,2,2,2,4,5,2,2,3,3,5,6,4
2021-01-12T19:51:00Z,4,6,4,5,6,6,5,6,5,5,3,3,3,2,2,3,5,5,5,6,6
2021-01-12T20:04:00Z,3,3,3,4,5,3,2,2,3,2,2,4,3,6,5,3,5,2,5,6,4
2021-01-12T20:08:00Z,3,5,4,3,5,3,2,1,2,3,3,2,3,5,4,1,3,1,4,6,2
2021-01-12T20:11:00Z,5,5,5,6,6,6,5,6,6,5,4,3,5,4,5,5,5,3,5,6,6
2021-01-12T20:14:00Z,6,7,6,7,7,7,7,7,7,7,5,3,4,3,6,6,5,5,7,6,7
2021-01-12T20:42:00Z,2,2,3,3,3,5,3,1,3,2,6,4,5,7,3,3,4,3,3,6,3
2021-01-12T20:45:00Z,2,2,2,2,2,3,4,1,2,2,7,7,4,6,2,2,1,2,2,6,2
2021-01-12T20:49:00Z,4,3,4,4,4,4,3,3,4,3,3,4,4,4,4,3,5,5,4,6,4
2021-01-12T20:53:00Z,4,4,4,5,5,6,6,5,5,5,3,4,5,4,6,3,4,4,4,6,5
2021-01-12T21:05:00Z,2,2,2,2,2,1,3,2,4,2,5,5,5,6,2,1,2,3,2,6,3
2021-01-12T21:09:00Z,3,3,1,3,2,3,2,2,4,3,5,6,3,5,4,1,1,4,2,6,2
2021-01-12T21:12:00Z,4,2,4,3,4,5,6,5,6,6,4,5,6,2,3,2,3,4,3,6,4
2021-01-12T21:16:00Z,6,5,4,5,5,5,6,6,6,6,6,5,6,4,3,5,4,4,5,6,5
2021-01-12T21:48:00Z,4,4,4,5,4,5,2,3,3,3,3,2,5,3,3,2,3,3,4,6,3
2021-01-12T21:52:00Z,6,7,7,7,7,6,4,5,3,5,3,3,2,3,3,5,5,6,6,6,6
2021-01-12T21:56:00Z,5,6,5,5,6,6,6,6,5,7,3,2,6,4,5,3,5,4,5,6,6
2021-01-12T22:00:00Z,2,1,4,1,3,3,3,2,3,2,3,5,5,5,2,2,3,4,2,6,4
2021-01-13T08:46:00Z,2,1,1,2,1,2,2,1,1,1,3,6,4,3,2,1,2,2,3,6,2
2021-01-13T08:50:00Z,5,4,3,5,5,6,5,5,5,6,6,3,5,3,4,4,5,4,6,6,5
2021-01-13T08:54:00Z,1,2,3,4,4,3,4,2,3,3,6,6,7,7,1,1,5,1,3,6,4
2021-01-13T08:58:00Z,6,6,6,6,6,5,5,3,3,5,3,2,2,2,5,5,6,6,5,6,6
2021-01-13T09:17:00Z,3,3,4,2,3,3,4,4,4,4,6,6,5,5,3,3,3,2,4,6,4
2021-01-13T09:21:00Z,2,5,4,2,3,4,4,4,5,5,6,6,6,6,3,4,3,3,3,6,4
2021-01-13T09:25:00Z,2,2,3,2,2,3,2,4,3,3,7,7,6,7,2,3,2,1,2,6,2
2021-01-13T09:29:00Z,3,4,5,5,5,5,5,5,7,6,5,4,6,5,3,3,3,3,4,6,5
2021-01-13T09:43:00Z,6,6,5,5,6,6,6,4,6,6,6,6,6,5,6,3,4,5,4,6,6
2021-01-13T09:47:00Z,5,5,2,4,5,4,4,3,4,4,5,4,4,4,2,2,3,3,2,6,4
2021-01-13T09:50:00Z,3,2,2,2,3,4,2,2,2,3,6,6,4,6,2,2,2,2,3,6,3
2021-01-13T09:54:00Z,2,2,2,2,3,4,2,2,2,2,4,6,4,4,2,2,2,2,2,6,3
2021-01-13T10:09:00Z,4,3,3,4,4,4,6,5,3,5,6,3,5,6,3,4,3,3,4,6,5
2021-01-13T10:13:00Z,4,4,3,4,4,3,3,4,6,6,3,5,3,3,4,3,3,3,4,6,4
2021-01-13T10:16:00Z,3,3,3,3,3,3,3,3,3,3,6,6,4,6,3,3,3,3,3,6,3
2021-01-13T10:20:00Z,3,3,3,4,3,3,3,3,4,4,4,5,6,4,3,4,3,3,3,6,4
2021-01-13T10:50:00Z,3,4,4,3,5,3,3,4,5,4,4,4,5,5,4,4,3,3,3,6,4
2021-01-13T10:54:00Z,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,5,3,3,3,6,5
2021-01-13T10:58:00Z,3,3,4,4,3,3,3,3,4,3,4,5,5,4,3,3,3,3,3,6,3
2021-01-13T11:02:00Z,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,5
2021-01-13T11:16:00Z,2,3,3,5,2,4,4,5,5,4,5,3,5,3,4,5,6,3,5,6,4
2021-01-13T11:20:00Z,2,2,2,2,2,4,4,4,5,3,5,6,6,5,3,3,4,2,2,6,3
2021-01-13T11:25:00Z,5,5,5,5,5,6,6,6,6,6,5,3,6,4,5,5,5,4,6,6,5
2021-01-13T11:29:00Z,2,2,2,3,2,3,5,3,5,2,7,6,6,6,3,4,5,2,2,6,2
2021-01-13T11:45:00Z,5,4,5,5,6,4,4,3,4,4,2,2,3,4,3,4,4,4,3,6,4
2021-01-13T11:48:00Z,4,4,5,5,5,5,4,5,6,5,4,2,2,1,5,4,4,6,4,6,5
2021-01-13T11:52:00Z,2,2,1,3,3,4,2,3,2,2,3,4,4,5,2,3,2,1,2,6,2
2021-01-13T11:55:00Z,4,3,5,5,5,5,5,6,4,5,5,3,5,3,4,4,3,4,5,6,6
2021-01-13T13:12:00Z,4,3,5,5,5,3,5,4,4,3,2,2,3,4,2,5,3,2,3,6,5
2021-01-13T13:15:00Z,5,6,6,5,6,7,6,6,6,6,2,2,4,2,5,6,5,6,6,6,7
2021-01-13T13:19:00Z,1,2,2,3,3,2,1,2,2,2,5,5,6,6,2,3,2,2,1,6,2
2021-01-13T13:24:00Z,3,2,3,3,2,3,2,2,2,2,5,4,4,5,2,3,3,1,2,6,4
2021-01-13T13:35:00Z,5,6,5,5,5,5,6,6,6,6,4,5,6,4,4,5,5,5,6,6,6
2021-01-13T13:39:00Z,5,5,5,5,5,3,4,4,4,5,4,3,3,5,4,3,2,3,3,6,4
2021-01-13T13:43:00Z,3,2,4,4,5,4,3,4,5,3,4,3,5,3,3,2,2,2,3,6,4
2021-01-13T13:46:00Z,5,5,5,3,5,3,2,4,3,5,3,4,2,5,5,4,3,2,2,6,3
2021-01-13T14:03:00Z,2,2,3,4,5,4,2,2,3,6,2,2,4,2,2,2,4,4,2,6,4
2021-01-13T14:07:00Z,4,2,4,2,5,6,6,4,6,4,2,3,6,5,4,4,3,5,2,6,5
2021-01-13T14:11:00Z,5,5,6,5,6,6,5,4,7,7,2,2,6,2,7,4,3,3,4,6,6
2021-01-13T14:14:00Z,6,6,6,6,6,6,6,4,5,4,2,1,2,2,6,4,2,5,6,6,6
2021-01-13T14:42:00Z,2,4,2,2,3,5,5,3,4,4,3,3,6,3,5,2,2,4,3,6,4
2021-01-13T14:46:00Z,1,2,3,3,1,1,2,2,1,1,1,1,3,7,2,5,5,1,1,6,2
2021-01-13T14:49:00Z,4,5,6,6,6,7,7,7,6,7,5,3,6,3,5,4,5,5,5,6,6
2021-01-13T14:53:00Z,4,4,4,4,4,5,4,2,3,3,5,6,5,6,3,4,5,4,3,6,4
2021-01-13T15:13:00Z,3,4,3,4,5,4,2,3,2,3,5,4,5,2,2,2,3,3,5,6,4
2021-01-13T15:17:00Z,2,2,1,2,2,2,1,3,2,2,4,6,4,6,4,2,3,2,2,6,2
2021-01-13T15:21:00Z,3,2,2,1,2,2,2,3,3,2,7,6,4,7,3,2,2,2,1,6,1
2021-01-13T15:24:00Z,5,4,3,5,5,5,6,5,5,5,5,2,6,4,4,2,4,3,4,6,5
2021-01-13T16:13:00Z,4,6,6,6,6,5,5,5,6,6,3,5,4,2,6,4,5,4,5,6,6
2021-01-13T16:16:00Z,5,5,4,6,5,6,6,7,6,6,5,6,6,5,6,5,4,5,4,6,6
2021-01-13T16:20:00Z,3,3,4,3,4,2,3,3,4,3,2,4,3,4,3,3,2,4,4,6,3
2021-01-13T16:24:00Z,4,6,5,5,5,5,5,6,6,6,3,5,3,5,3,6,4,5,4,6,5
2021-01-13T16:39:00Z,5,6,6,6,5,5,4,5,7,3,6,4,6,6,3,3,2,3,5,6,5
2021-01-13T16:42:00Z,5,3,5,3,2,5,4,3,3,3,7,6,5,7,2,2,2,3,2,6,3
2021-01-13T16:46:00Z,5,5,5,5,5,6,6,5,6,5,3,3,4,4,3,2,4,4,4,6,6
2021-01-13T16:50:00Z,5,6,7,5,6,5,2,3,5,2,3,5,3,4,3,3,3,4,4,6,6
2021-01-13T17:03:00Z,3,3,4,4,3,4,4,3,4,3,4,5,5,4,4,3,3,3,4,6,3
2021-01-13T17:06:00Z,4,4,5,4,4,4,4,3,4,4,4,5,5,4,3,3,3,3,3,6,4
2021-01-13T17:10:00Z,5,6,5,6,6,6,6,5,5,6,4,4,3,3,6,4,4,6,5,6,6
2021-01-13T17:13:00Z,4,3,3,5,4,4,3,4,4,4,3,4,4,3,3,5,4,3,4,6,5
2021-01-13T17:39:00Z,3,2,3,2,2,3,5,2,2,2,4,6,4,6,1,1,2,1,2,6,2
2021-01-13T17:43:00Z,5,5,5,5,5,5,5,5,5,4,3,3,5,4,5,5,4,5,5,6,5
2021-01-13T17:47:00Z,5,6,5,5,5,6,6,5,5,6,1,1,2,1,6,6,6,6,5,6,6
2021-01-13T17:50:00Z,2,2,4,2,3,4,5,2,5,3,2,4,5,3,2,3,2,1,4,6,4
2021-01-13T18:20:00Z,4,5,3,5,5,5,3,3,5,5,3,3,5,3,3,2,2,3,4,6,5
2021-01-13T18:25:00Z,4,4,3,4,5,4,3,3,5,2,5,6,3,3,3,1,2,2,4,6,3
2021-01-13T18:29:00Z,2,2,2,2,2,2,3,2,3,2,5,5,5,6,2,2,2,2,2,6,2
2021-01-13T18:32:00Z,5,5,5,4,5,5,4,5,5,5,3,4,5,4,3,3,3,3,4,6,4
2021-01-13T18:46:00Z,4,6,4,6,5,5,4,5,6,5,2,2,6,3,6,6,4,4,6,6,6
2021-01-13T18:49:00Z,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,2,2,6,4
2021-01-13T18:53:00Z,7,7,7,7,7,7,7,7,7,7,1,1,1,1,6,7,7,7,7,6,7
2021-01-13T18:56:00Z,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,4,2,2,2,6,4
2021-01-13T19:15:00Z,2,1,3,2,1,4,3,3,4,1,7,5,6,7,1,3,3,2,2,6,3
2021-01-13T19:19:00Z,5,6,5,7,6,6,6,5,6,6,4,2,5,5,3,2,6,6,5,6,6
2021-01-13T19:23:00Z,5,6,5,6,6,3,5,3,3,3,3,2,6,2,1,2,2,2,6,6,5
2021-01-13T19:27:00Z,5,6,6,6,6,6,5,5,6,5,4,2,5,2,3,3,5,5,6,6,6
2021-01-13T19:47:00Z,4,2,2,3,2,4,3,2,5,1,3,1,5,4,3,2,3,1,2,6,2
2021-01-13T19:51:00Z,3,3,5,3,3,5,6,4,5,5,4,2,4,6,3,4,4,5,5,6,4
2021-01-13T19:55:00Z,7,3,7,6,7,5,3,6,5,7,2,4,3,1,4,3,4,7,6,6,6
2021-01-13T19:58:00Z,2,1,1,1,1,2,6,1,6,5,7,6,6,7,1,1,1,1,2,6,1
2021-01-13T20:13:00Z,4,3,5,4,4,4,4,5,4,4,5,5,5,2,5,2,2,4,5,6,4
2021-01-13T20:23:00Z,4,3,4,4,5,5,5,5,4,4,4,5,5,3,4,4,4,4,4,6,4
2021-01-13T20:26:00Z,2,2,2,2,2,3,4,2,2,2,6,6,6,6,1,2,2,2,3,6,2
2021-01-13T20:30:00Z,2,4,3,3,4,2,2,2,5,2,3,5,5,4,5,5,5,4,5,6,4
2021-01-13T20:47:00Z,2,3,2,3,5,4,3,5,6,3,6,5,5,6,3,2,1,2,4,6,3
2021-01-13T20:51:00Z,3,2,5,5,6,6,6,7,6,7,5,3,3,3,2,2,1,3,5,6,6
2021-01-13T20:55:00Z,5,6,6,6,7,2,1,2,2,2,3,2,1,2,5,2,5,1,2,6,5
2021-01-13T20:59:00Z,2,3,4,5,5,2,2,3,2,3,3,5,3,2,2,1,6,5,3,6,5
2021-01-13T21:20:00Z,1,2,2,2,2,2,2,1,3,1,2,5,2,3,4,2,1,3,1,6,2
2021-01-13T21:23:00Z,5,6,6,5,6,6,5,6,3,6,6,3,6,5,6,4,4,6,6,6,5
2021-01-13T21:26:00Z,1,1,1,1,1,1,1,1,1,1,7,7,4,7,1,1,1,1,1,6,1
2021-01-13T21:30:00Z,2,2,2,3,3,2,2,2,2,2,5,5,2,5,2,2,2,3,2,6,3
2021-01-13T21:44:00Z,4,5,4,4,5,5,5,5,6,6,5,6,5,5,3,3,3,4,5,6,5
2021-01-13T21:48:00Z,4,5,5,5,6,4,4,3,4,3,4,3,3,3,5,5,4,5,5,6,5
2021-01-13T21:52:00Z,3,4,4,3,3,5,3,5,4,5,3,5,5,4,3,3,3,4,3,6,4
2021-01-13T21:56:00Z,1,1,3,1,1,2,3,3,4,2,6,6,7,7,3,2,4,2,3,6,2
2021-01-14T08:22:00Z,2,3,2,3,3,2,3,1,3,1,5,5,4,6,1,3,4,3,2,6,2
2021-01-14T08:25:00Z,2,4,4,2,4,1,2,1,2,3,3,4,4,3,2,3,4,4,3,6,3
2021-01-14T08:29:00Z,4,4,3,4,5,4,6,6,6,6,5,4,6,5,3,3,5,4,4,6,4
2021-01-14T08:33:00Z,4,4,4,4,5,4,5,3,5,4,3,3,4,2,4,2,5,4,3,6,3
2021-01-14T08:49:00Z,3,2,4,3,2,6,3,6,6,5,4,3,4,4,3,3,3,2,3,6,3
2021-01-14T08:53:00Z,5,5,6,7,6,6,3,2,5,2,2,2,2,4,4,4,6,2,6,6,5
2021-01-14T08:57:00Z,2,2,3,4,2,5,5,4,6,4,6,3,6,6,4,1,3,1,2,6,3
2021-01-14T09:01:00Z,3,2,3,4,3,6,6,4,5,3,2,3,7,3,3,2,2,2,4,6,4
2021-01-14T09:45:00Z,5,5,6,5,6,2,4,3,4,3,3,5,5,2,1,1,1,3,4,6,3
2021-01-14T09:49:00Z,3,5,5,5,5,3,2,3,3,5,2,2,2,2,3,3,4,4,5,6,5
2021-01-14T09:53:00Z,6,5,5,6,6,6,7,5,7,7,6,3,7,4,6,3,2,3,4,6,4
2021-01-14T09:57:00Z,3,2,2,2,2,2,5,2,5,2,4,4,5,5,1,1,1,2,2,6,2
2021-01-14T10:12:00Z,2,2,3,2,2,2,2,3,2,2,4,6,3,6,2,2,3,2,2,6,4
2021-01-14T10:16:00Z,4,5,5,5,5,4,3,3,3,4,3,3,3,2,4,2,4,5,5,6,5
2021-01-14T10:20:00Z,5,5,5,6,6,6,6,4,6,5,5,2,6,5,5,3,4,5,6,6,5
2021-01-14T10:24:00Z,2,2,2,2,3,2,2,2,2,2,3,6,3,5,2,2,2,3,2,6,4
2021-01-14T11:11:00Z,2,1,1,1,3,2,6,1,5,2,6,6,3,6,1,1,1,2,5,6,3
2021-01-14T11:15:00Z,6,7,6,6,6,6,7,7,6,7,2,5,6,2,4,1,4,6,6,6,7
2021-01-14T11:18:00Z,1,2,1,2,1,1,3,1,1,1,6,7,6,5,1,1,1,2,1,6,2
2021-01-14T11:21:00Z,1,1,1,1,1,1,1,1,3,1,6,7,1,7,1,1,1,1,1,6,1
2021-01-14T12:15:00Z,2,1,3,3,3,3,4,3,4,2,5,3,6,4,3,2,2,3,2,6,3
2021-01-14T12:18:00Z,1,1,1,2,1,2,1,1,1,1,7,6,6,7,2,1,2,1,2,6,1
2021-01-14T12:22:00Z,2,4,5,4,5,5,5,5,5,5,2,4,4,2,5,4,3,4,5,6,5
2021-01-14T12:26:00Z,4,6,5,6,6,5,4,5,6,5,4,3,2,4,6,6,4,5,5,6,6
2021-01-14T13:09:00Z,6,6,5,6,6,4,4,3,5,4,3,2,4,5,3,5,3,5,5,6,6
2021-01-14T13:14:00Z,4,5,5,5,5,3,5,4,4,4,4,4,5,3,3,3,2,3,4,6,5
2021-01-14T13:18:00Z,4,3,5,3,5,3,6,4,5,3,5,4,6,5,2,3,2,3,4,6,5
2021-01-14T13:21:00Z,5,6,6,6,5,6,5,5,5,5,3,3,5,3,4,4,5,6,5,6,6
2021-01-14T13:37:00Z,5,3,6,5,6,5,5,5,6,6,2,3,5,2,3,3,5,5,5,6,6
2021-01-14T13:42:00Z,4,3,5,5,6,5,5,3,4,6,4,5,3,3,3,2,2,3,3,6,5
2021-01-14T13:46:00Z,5,5,6,5,6,6,5,4,5,3,5,4,5,5,3,3,3,2,5,6,4
2021-01-14T13:50:00Z,4,3,4,3,5,6,5,5,6,6,3,6,5,3,4,2,2,6,6,6,6
2021-01-14T14:08:00Z,3,2,2,3,3,4,3,2,3,2,3,3,4,5,3,3,2,3,3,6,3
2021-01-14T14:11:00Z,3,3,3,3,3,3,3,4,4,3,4,5,4,5,3,3,3,3,3,6,3
2021-01-14T14:15:00Z,3,3,3,3,3,3,3,3,4,3,3,5,4,5,3,5,3,3,3,6,4
2021-01-14T14:18:00Z,3,3,3,3,3,5,4,3,5,5,3,5,5,3,5,3,3,3,3,6,5
2021-01-14T14:37:00Z,4,5,5,5,5,4,3,3,3,4,5,3,5,5,3,2,3,3,4,6,4
2021-01-14T14:41:00Z,6,4,5,5,6,5,6,6,5,5,3,5,3,1,5,2,3,3,4,6,6
2021-01-14T14:45:00Z,2,5,3,3,3,2,2,2,2,2,3,5,5,5,5,1,2,2,3,6,2
2021-01-14T14:48:00Z,6,7,6,6,7,6,7,6,6,6,5,2,6,4,5,4,5,5,5,6,6
2021-01-14T15:14:00Z,2,1,2,2,2,4,2,4,4,2,4,3,6,3,2,2,5,4,2,6,3
2021-01-14T15:18:00Z,4,2,4,4,4,4,5,5,4,5,5,2,5,2,4,2,4,4,3,6,4
2021-01-14T15:22:00Z,5,5,4,4,5,5,3,4,4,4,4,2,4,4,3,2,5,4,5,6,5
2021-01-14T15:25:00Z,2,2,2,2,2,2,2,2,2,2,4,4,4,6,2,2,2,2,2,6,2
2021-01-14T15:43:00Z,2,1,1,2,1,2,2,3,4,3,5,5,5,6,3,3,1,4,1,6,3
2021-01-14T15:47:00Z,2,2,1,2,2,3,2,3,5,3,3,4,4,2,2,1,2,2,3,6,4
2021-01-14T15:50:00Z,4,6,6,6,6,7,7,6,6,7,4,2,5,4,5,4,3,6,5,6,6
2021-01-14T15:54:00Z,2,2,4,3,3,1,1,2,2,2,4,5,4,4,2,1,1,3,2,6,3
2021-01-14T16:38:00Z,3,3,2,3,3,3,3,5,3,4,3,6,3,2,3,3,3,6,2,6,6
2021-01-14T16:42:00Z,5,5,5,4,6,5,6,5,3,6,5,4,5,4,3,5,6,5,5,6,5
2021-01-14T16:45:00Z,1,1,1,2,1,3,2,2,3,3,5,6,6,6,2,3,2,2,2,6,2
2021-01-14T16:48:00Z,5,5,5,6,6,6,6,5,7,7,5,3,6,4,6,3,5,3,6,6,6
2021-01-14T17:07:00Z,3,3,4,3,2,5,6,5,6,5,5,6,6,5,3,2,3,3,3,6,4
2021-01-14T17:11:00Z,5,5,4,5,5,5,4,4,5,4,4,4,5,3,3,3,3,3,4,6,4
2021-01-14T17:15:00Z,5,6,5,6,5,6,6,6,5,6,4,5,5,2,5,4,4,4,4,6,6
2021-01-14T17:19:00Z,5,5,5,5,5,6,6,6,6,6,3,5,6,1,4,3,4,4,4,6,6
2021-01-14T17:52:00Z,2,2,4,2,2,5,2,4,2,4,2,2,6,5,5,2,2,1,2,6,4
2021-01-14T17:56:00Z,3,1,3,2,5,1,5,4,3,3,1,2,5,2,3,3,3,2,3,6,3
2021-01-14T17:59:00Z,7,6,6,6,6,6,7,7,7,6,7,3,7,3,6,6,6,6,4,6,6
2021-01-14T18:03:00Z,2,1,3,2,2,3,4,2,2,2,6,6,6,6,4,2,3,3,4,6,4
2021-01-14T18:35:00Z,4,4,4,4,3,2,2,2,3,3,7,6,7,6,1,2,2,1,3,6,3
2021-01-14T18:39:00Z,4,5,6,4,5,5,3,5,6,3,2,6,3,3,2,5,6,3,3,6,5
2021-01-14T18:42:00Z,6,6,6,6,6,5,3,6,6,6,3,3,3,2,6,5,5,6,5,6,5
2021-01-14T18:46:00Z,6,6,6,6,5,6,7,5,7,7,4,4,3,3,6,5,3,3,5,6,6
2021-01-14T19:15:00Z,3,6,6,6,5,3,5,3,7,3,5,6,5,3,5,2,2,4,5,6,5
2021-01-14T19:19:00Z,3,6,3,5,6,6,7,5,7,6,7,3,6,3,5,2,3,3,5,6,6
